"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
271717239,271338343,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-01-28,NA,"2022-01-28T06:31:50","78.12706","USD/RUB",2022-01-28 11:31:50,2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3984480,51000,"RUB","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717240,271338343,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-01-28,NA,"2022-01-28T11:31:50","78.12706","USD/RUB",2022-01-28 11:31:50,2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3984480,51000,"RUB","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717243,271338431,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-01-28,NA,"2022-01-28T06:31:50","78.12706","USD/RUB",2022-01-28 11:31:50,2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2031304,26000,"RUB","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717244,271338431,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-01-28,NA,"2022-01-28T11:31:50","78.12706","USD/RUB",2022-01-28 11:31:50,2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2031304,26000,"RUB","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717580,271604289,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U","N",NA,2022-01-27,NA,"2022-01-27T09:04:24","1.185","USD/EUR",2022-01-27 14:00:08,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",42194093,5e+07,"EUR","USD",NA,NA,NA,NA,NA,2922000,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
271717581,271604289,"FX","ForeignExchange:ComplexExotic","CORRECT","Trade","Y","U","N",NA,2022-01-27,NA,"2022-01-27T14:04:24","1.185","USD/EUR",2022-01-27 14:04:24,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",5e+07,42194093,"USD","EUR",NA,NA,NA,NA,NA,2922000,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717594,NA,"FX","ForeignExchange:ComplexExotic","NEW","Trade","N","U","N",NA,2022-01-28,NA,"2022-01-29T00:57:09","1.12421","EUR/USD",2022-01-29 00:57:09,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",320000,NA,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717595,NA,"FX","ForeignExchange:ComplexExotic","NEW","Trade","N","U","N",NA,2022-01-28,NA,"2022-01-29T00:55:54","1.12395","EUR/USD",2022-01-29 00:55:54,2022-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",6e+05,NA,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717726,NA,"FX","ForeignExchange:Forward","NEW","Termination","N","U",NA,NA,2021-10-01,NA,"2021-10-01T14:11:29",NA,"EUR/USD",2021-10-01 13:44:52,2022-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",19668,23000,"EUR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
271717727,NA,"FX","ForeignExchange:Forward","NEW","Trade","N","U",NA,NA,2022-01-28,NA,"2022-01-28T15:23:49",NA,"EUR/USD",2022-01-28 15:23:49,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",500850,560000,"EUR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
