"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
241245112,NA,"FX","ForeignExchange:ComplexExotic","NEW","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T14:21:35","1.181048","GBP/EUR",2021-11-26 14:21:35,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",43000,NA,"GBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241245126,241009527,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T09:15:51","829.43","USD/CLP",2021-11-26 14:15:51,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+06,829430002,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241245127,241009527,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T14:15:51","829.43","USD/CLP",2021-11-26 14:15:51,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+06,829430002,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241245156,241003440,"FX","ForeignExchange:NDF","CANCEL","Trade","N","C","N",NA,2021-11-26,NA,"2021-11-26T08:13:01","4,010.349","USD/COP",2021-11-26 13:13:01,2021-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+05,401034900,"USD","COP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241245157,241003440,"FX","ForeignExchange:NDF","CORRECT","Trade","N","C","N",NA,2021-11-26,NA,"2021-11-26T13:13:01","4,010.349","USD/COP",2021-11-26 13:13:01,2021-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+05,401034900,"USD","COP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263190,NA,"FX","ForeignExchange:SimpleExotic:Digital","NEW","Novation","N","U","N",NA,2021-11-23,NA,"2021-11-27T00:24:20",NA,"USD/CNY",2021-05-25 13:01:29,2022-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2e+06,NA,"USD",NA,NA,NA,NA,NA,NA,0,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU","OFF",NA
241263218,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","Y","U","N",NA,2021-11-25,NA,"2021-11-25T09:08:43","6.42","CNY/USD",2021-11-25 09:08:43,2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",1.284e+09,2e+08,"CNY","USD",NA,NA,NA,NA,NA,904000,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263228,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","Y","U","N",NA,2021-11-23,NA,"2021-11-23T08:13:34","32.75","THB/USD",2021-11-23 08:13:34,2022-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",3.275e+09,1e+08,"THB","USD",NA,NA,NA,NA,NA,545000,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263238,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U","N",NA,2021-11-26,NA,"2021-11-26T15:51:17","5.60285","USD/BRL",2021-11-26 15:51:17,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3e+06,16808550,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263239,241017194,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T10:23:52","5.61635","USD/BRL",2021-11-26 15:23:52,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",46000,258352,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263240,241017194,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T15:23:52","5.61635","USD/BRL",2021-11-26 15:23:52,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",46000,258352,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263244,NA,"FX","ForeignExchange:VanillaOption","NEW","Trade","Y","U","N",NA,2021-11-26,NA,"2021-11-26T16:45:27","0.6625","USD/NZD",2021-11-26 16:45:27,2022-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",34716981,2.3e+07,"NZD","USD",NA,NA,NA,NA,NA,551305.66225,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6625,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
241263245,241052805,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U","N",NA,2021-11-26,NA,"2021-11-26T11:45:26","0.72","NZD/USD",2021-11-26 16:45:26,2022-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",69444444,5e+07,"NZD","USD",NA,NA,NA,NA,NA,110416.66644,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
241263246,241052805,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U","N",NA,2021-11-26,NA,"2021-11-26T16:45:26","0.72","NZD/USD",2021-11-26 16:45:26,2022-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",69444444,5e+07,"NZD","USD",NA,NA,NA,NA,NA,110416.66644,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
241263247,NA,"FX","ForeignExchange:ComplexExotic","NEW","Trade","N","U","N",NA,2021-11-26,NA,"2021-11-26T16:56:12","1.334232","GBP/USD",2021-11-26 16:56:12,2022-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",1e+06,NA,"GBP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
241263248,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","C","N",NA,2021-11-26,NA,"2021-11-26T16:11:05","831.6","USD/CLP",2021-11-26 16:11:05,2021-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",8e+06,6652800000,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
