"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
255110900,NA,"FX","ForeignExchange:ComplexExotic","NEW","Termination","N","U","N",NA,2021-08-24,NA,"2021-08-24T09:53:51","32.5","THB/USD",2021-08-24 09:53:51,2021-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",8e+06,NA,"THB",NA,NA,NA,NA,NA,NA,18461.5385,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110662,NA,"FX","ForeignExchange:ComplexExotic","NEW","Trade","Y","U","N",NA,2021-08-24,NA,"2021-08-24T09:53:51","32.5","THB/USD",2021-08-24 09:53:51,2021-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",8125000,250000,"THB","USD",NA,NA,NA,NA,NA,18750.00006,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110657,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","Y","U","N",NA,2021-12-13,NA,"2021-12-13T11:40:19","129","JPY/EUR",2021-12-13 11:40:19,2022-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",1710659,220675006,"JPY","EUR",NA,NA,NA,NA,NA,336144.46835,"JPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110654,NA,"FX","ForeignExchange:ComplexExotic","NEW","Termination","N","U","N",NA,2021-08-24,NA,"2021-08-24T09:53:53","32.5","THB/USD",2021-08-24 09:53:53,2021-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",8e+06,NA,"THB",NA,NA,NA,NA,NA,NA,18461.53846,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110653,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","Y","U","N",NA,2021-12-13,NA,"2021-12-13T11:40:14","129","EUR/JPY",2021-12-13 11:40:14,2022-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",220675006,1710659,"EUR","JPY",NA,NA,NA,NA,NA,336144.52966,"JPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110643,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","N","U","N",NA,2021-12-16,NA,"2021-12-16T15:28:40","1.14405","USD/EUR",2021-12-16 15:28:40,2022-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",5e+06,4370438,"USD","EUR",NA,NA,NA,NA,NA,0,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255110642,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","N","U","N",NA,2021-12-16,NA,"2021-12-16T15:28:33","1.14405","USD/EUR",2021-12-16 15:28:33,2022-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",5e+06,4370438,"USD","EUR",NA,NA,NA,NA,NA,0,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255079131,NA,"FX","ForeignExchange:Spot","NEW","Trade","Y","U",NA,NA,2021-12-24,NA,"2021-12-24T17:48:13","0.723","AUD/USD",2021-12-24 17:48:13,2021-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",9e+06,12448133,"USD","AUD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255079132,NA,"FX","ForeignExchange:Forward","NEW","Trade","Y","U",NA,NA,2021-12-24,NA,"2021-12-24T17:48:13","0.7226","AUD/USD",2021-12-24 17:48:13,2022-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",12455023,9e+06,"AUD","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
255131413,253153589,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2021-12-21,NA,"2021-12-21T08:34:00","5.8385","USD/BRL",2021-12-21 13:34:00,2022-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",35031000,6e+06,"BRL","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
