"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
231525319,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-07T23:56:07","5.5885","USD/BRL",2021-11-07 23:56:07,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",16000,89416,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",NA
231525305,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","U",NA,NA,2021-11-08,NA,"2021-11-07T23:53:30","1,185.65","USD/KRW",2021-11-07 23:53:30,2021-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",42683400000,3.6e+07,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231525300,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-07T23:45:55","814.17","USD/CLP",2021-11-07 23:45:55,2021-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4.9e+07,39894330000,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231525301,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-07T23:45:56","813.25","USD/CLP",2021-11-07 23:45:56,2021-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+06,813250000,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231525302,NA,"FX","ForeignExchange:NDF","NEW","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-07T23:45:55","812.5","USD/CLP",2021-11-07 23:45:55,2021-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4.9e+07,39812500000,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231525287,NA,"FX","ForeignExchange:ComplexExotic","NEW","Termination","Y","U",NA,NA,2020-05-13,NA,"2021-11-07T23:13:05",NA,"COP/USD",2020-05-13 17:46:26,2021-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2.5e+08,NA,"USD",NA,NA,NA,NA,NA,NA,1474.03205,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,4486,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231524907,231521694,"FX","ForeignExchange:NDF","CANCEL","Trade","Y","U",NA,NA,2021-11-05,NA,"2021-11-05T12:06:56","14,338.43","USD/IDR",2021-11-05 16:06:56,2021-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+06,14338430000,"USD","IDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",NA
231523099,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U","N",NA,2021-11-05,NA,"2021-11-07T19:11:51","5.54715","USD/BRL",2021-11-07 19:11:51,2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2e+06,11094300,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231524097,231358171,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-05T12:51:34","72.266009","USD/RUB",2021-11-05 16:51:34,2022-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",47000,3396503,"USD","RUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
231523668,231358169,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U","N",NA,2021-11-05,NA,"2021-11-05T12:51:34","71.159588","USD/RUB",2021-11-05 16:51:34,2021-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",48000,3415660,"USD","RUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
