"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
380761667,NA,"FX","ForeignExchange:NDF","NEW","Amendment","Y","U",NA,NA,2022-06-17,NA,"2022-06-17T15:06:21","879.45","CLP/USD",2022-06-17 15:06:21,2022-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",36936900,42000,"CLP","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",NA
380761668,NA,"FX","ForeignExchange:NDF","NEW","Amendment","Y","U",NA,NA,2022-06-27,NA,"2022-06-27T15:02:06","901","CLP/USD",2022-06-27 15:02:06,2022-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",48000,43248000,"USD","CLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380761669,NA,"FX","ForeignExchange:Forward","NEW","Termination","N","U",NA,NA,2022-06-20,NA,"2022-06-20T18:38:00",NA,"USD/CAD",2022-06-20 18:38:00,2022-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",350000,456785,"USD","CAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380761670,NA,"FX","ForeignExchange:Forward","NEW","Termination","N","U",NA,NA,2022-03-14,NA,"2022-07-05T21:28:02",NA,"USD/CAD",2022-03-14 21:31:01,2022-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",290000,369953,"USD","CAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380761673,NA,"FX","ForeignExchange:Forward","NEW","Termination","N","U",NA,NA,2022-04-05,NA,"2022-04-05T12:47:02",NA,"USD/CAD",2022-04-05 12:47:02,2022-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",770000,962192,"USD","CAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380761792,NA,"FX","ForeignExchange:ComplexExotic","NEW","Amendment","Y","U","N",NA,2022-07-07,NA,"2022-07-07T14:48:53","0.1049","USD/EUR",2022-07-07 14:48:53,2025-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",5e+06,47664443,"USD","EUR",NA,NA,NA,NA,NA,0,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
379738539,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-08,NA,"2022-07-08T02:04:12","29.752","TWD/USD",2022-07-08 02:04:12,2022-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1100824,37000,"TWD","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
379738543,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-08,NA,"2022-07-08T02:04:12","29.752","TWD/USD",2022-07-08 02:04:12,2022-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",833056,28000,"TWD","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
379739116,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-08,NA,"2022-07-08T02:32:40","29.735","USD/TWD",2022-07-08 02:32:40,2022-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+07,297350000,"USD","TWD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762410,379340968,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:44:01","81.108","USD/INR",2022-07-07 14:44:01,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",72997200,9e+05,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762411,379340968,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:44:01","81.108","USD/INR",2022-07-07 14:44:01,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",72997200,9e+05,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762417,379340988,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:44:01","80.956","USD/INR",2022-07-07 14:44:01,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",72860400,9e+05,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762418,379340988,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:44:01","80.956","USD/INR",2022-07-07 14:44:01,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",72860400,9e+05,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762430,379341000,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:44:01","81.108","USD/INR",2022-07-07 14:44:01,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",162216000,2e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762431,379341000,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:44:01","81.108","USD/INR",2022-07-07 14:44:01,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",162216000,2e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762443,379341023,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:44:01","80.956","USD/INR",2022-07-07 14:44:01,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",161912000,2e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762444,379341023,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:44:01","80.956","USD/INR",2022-07-07 14:44:01,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",161912000,2e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
379739985,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-08,NA,"2022-07-08T03:05:34","29.786","USD/TWD",2022-07-08 03:05:34,2022-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",5e+06,148930000,"USD","TWD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762450,379562651,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:46:17","1,296.33","USD/KRW",2022-07-07 14:46:17,2022-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3888990018,3e+06,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762451,379562651,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:46:17","1,296.33","USD/KRW",2022-07-07 14:46:17,2022-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3888990018,3e+06,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762455,379562681,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T10:46:17","1,297.63","USD/KRW",2022-07-07 14:46:17,2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3892890018,3e+06,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380762456,379562681,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-07,NA,"2022-07-07T14:46:17","1,297.63","USD/KRW",2022-07-07 14:46:17,2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3892890018,3e+06,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765198,380102707,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-08,NA,"2022-07-08T04:29:06","56.114","USD/PHP",2022-07-08 08:29:06,2022-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4545234,81000,"PHP","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765199,380102707,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-08,NA,"2022-07-08T08:29:06","56.114","USD/PHP",2022-07-08 08:29:06,2022-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4545234,81000,"PHP","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765200,380103236,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2022-07-08,NA,"2022-07-08T04:29:06","56.088","USD/PHP",2022-07-08 08:29:06,2022-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4543128,81000,"PHP","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765201,380103236,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2022-07-08,NA,"2022-07-08T08:29:06","56.088","USD/PHP",2022-07-08 08:29:06,2022-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",4543128,81000,"PHP","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765183,210957083,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2021-07-23,NA,"2021-07-23T03:16:41","74.585","USD/INR",2021-07-23 07:16:41,2021-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2237549996,3e+07,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765184,210957083,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2021-07-23,NA,"2021-07-23T07:16:41","74.585","USD/INR",2021-07-23 07:16:41,2021-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2237549996,3e+07,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765185,210718269,"FX","ForeignExchange:NDF","CANCEL","Trade","N","U",NA,NA,2021-07-23,NA,"2021-07-23T03:16:41","77.7455","USD/INR",2021-07-23 07:16:41,2022-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",544218501,7e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
380765186,210718269,"FX","ForeignExchange:NDF","CORRECT","Trade","N","U",NA,NA,2021-07-23,NA,"2021-07-23T07:16:41","77.7455","USD/INR",2021-07-23 07:16:41,2022-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",544218501,7e+06,"INR","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
