"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
385414828,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T14:39:14","1,320.4","USD/KRW",2022-07-15 14:39:14,2022-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2.5e+07,3.301e+10,"USD","KRW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385400306,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T13:09:47","1,321.6","USD/KRW",2022-07-15 13:09:47,2022-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2.5e+07,3.304e+10,"USD","KRW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385396477,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T12:27:33","5.446","USD/BRL",2022-07-15 12:27:33,2022-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",6e+06,32676000,"USD","BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385320168,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T09:47:36","1,327.7","KRW/USD",2022-07-15 09:47:36,2022-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",38503300120,2.9e+07,"KRW","USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385134992,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T08:26:40","29.97","USD/TWD",2022-07-15 08:26:40,2022-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",5e+07,1498500000,"USD","TWD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
384826328,NA,"FX","ForeignExchange:NDF","NEW","Trade","Y","U",NA,NA,2022-07-15,NA,"2022-07-15T06:45:50","1,323.2","USD/KRW",2022-07-15 06:45:50,2022-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",6.5e+07,8.6008e+10,"USD","KRW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385801994,361629183,"FX","ForeignExchange:NDO","CANCEL","Trade","N","U","N",NA,2022-06-13,NA,"2022-06-13T15:01:05","5.068","USD/BRL",2022-06-13 19:01:05,2022-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2e+07,101360000,"USD","BRL",NA,NA,NA,NA,NA,321311.2,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,506.8,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
385801995,361628945,"FX","ForeignExchange:NDO","CANCEL","Trade","N","U","N",NA,2022-06-13,NA,"2022-06-13T15:01:05","5.252","USD/BRL",2022-06-13 19:01:05,2022-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",99788000,1.9e+07,"BRL","USD",NA,NA,NA,NA,NA,316327.96,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,525.2,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
385801993,NA,"FX","ForeignExchange:NDF","NEW","Amendment","Y","U","N",NA,2022-07-15,NA,"2022-07-15T13:41:17","79.798","USD/INR",2022-07-15 13:41:17,2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+07,797980000,"USD","INR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
385801991,NA,"FX","ForeignExchange:NDF","NEW","Amendment","Y","U","N",NA,2022-07-15,NA,"2022-07-15T08:14:58","15,070","USD/IDR",2022-07-15 08:14:58,2022-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",1e+07,1.507e+11,"USD","IDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OFF",NA
